model_name,phase,account,condition,n_items,n_seeds,n_prompts_scored,absC_mean,absC_mean_lo,absC_mean_hi,absC_change_vs_unedited,absC_change_vs_unedited_lo,absC_change_vs_unedited_hi,opt_acc,opt_acc_lo,opt_acc_hi,acc_loss_vs_unedited,acc_loss_vs_unedited_lo,acc_loss_vs_unedited_hi,n_paired_prompts,p_gold_mean,p_gold_loss_vs_unedited,p_gold_loss_vs_unedited_lo,p_gold_loss_vs_unedited_hi,energy_total_A_mean,energy_audit_mean,alpha,sec_mean,first_dev_layer_span_median,first_dev_layer_span_frac_never,first_dev_layer_last_median,first_dev_layer_last_frac_never,first_dev_layer_postspan_median,first_dev_layer_postspan_frac_never,first_margin_dev_cutoff_median,first_margin_dev_cutoff_frac_never,n_layers_edited,prespan_untouched_frac,fitting
phi-4-mini-instruct,test,depth,late_frozen,160,160,317,0.3984375,0.33984375,0.4601757812499998,-0.009765625,-0.028125,0.008984375,0.6403785488958991,0.5727848101265823,0.7034877823648147,-0.0094637223974763,-0.0285714285714285,0.009434706267484,317,0.5800753982378359,-0.0077998286070863,-0.0127158423290055,-0.0035640228041772,0.0528845012708018,0.0314956107012258,1.0,0.5669941484928132,22.0,0.0,,1.0,,1.0,,,10,1.0,frozen
phi-4-mini-instruct,test,depth,full_sequential,160,160,317,0.294140625,0.251171875,0.34375,-0.1140625,-0.162119140625,-0.0671875,0.7066246056782335,0.6435106256736846,0.7672955974842768,-0.0757097791798107,-0.115987460815047,-0.0377358490566037,317,0.6534468606238545,-0.0811712909931048,-0.1044368322695025,-0.0593990790430755,0.0383805767940203,0.0390311359805694,1.0,1.45137407630682,0.0,0.0,17.0,0.56875,7.5,0.1,8.0,0.41875,32,1.0,sequential
qwen2.5-7b-instruct,dev,depth,unedited,60,60,117,0.6473353068033855,0.455979741414388,0.8602109400431314,0.0,0.0,0.0,0.5897435897435898,0.4700854700854701,0.703439013317191,-0.0,-0.0,-0.0,117,0.5794972727072888,-0.0,-0.0,-0.0,,,0.0,0.4133617798487345,,,,,,,,,0,,none
qwen2.5-7b-instruct,dev,depth,full_frozen,60,60,117,0.554608154296875,0.3847221374511718,0.7476352437337239,-0.0927271525065104,-0.2038507080078125,-0.0009520975748697,0.5897435897435898,0.4823695267580716,0.6983403330386085,-0.0,-0.0598290598290598,0.0603448275862069,117,0.5880923258715206,-0.008595053164232,-0.059835199549508,0.0472003902858623,0.0237278977641423,0.0111717430171989,1.0,1.7205674409866334,1.0,0.0,19.0,0.3166666666666666,12.0,0.2,8.0,0.2833333333333333,28,1.0,frozen
qwen2.5-7b-instruct,dev,depth,early_frozen,60,60,117,0.5158610026041667,0.3535396321614583,0.6973494466145833,-0.1314743041992187,-0.2121293512980143,-0.059500617980957,0.5555555555555556,0.4347537514428626,0.6695652173913044,0.0341880341880341,-0.0252100840336134,0.1008403361344537,117,0.5538931434280021,0.0256041292792867,-0.0175928864231495,0.0776493425670177,0.0144963585811023,0.0147087905674656,1.0,0.5605494976043701,1.0,0.0,19.0,0.4666666666666667,12.0,0.3166666666666666,,,10,1.0,frozen
qwen2.5-7b-instruct,dev,depth,middle_frozen,60,60,117,0.5796223958333333,0.4130293782552083,0.7678263346354166,-0.067712910970052,-0.1883305613199869,0.0362566502888997,0.5811965811965812,0.46484409553295,0.6937242327072835,0.0085470085470085,-0.0341880341880341,0.0517241379310344,117,0.5747308039722893,0.0047664687349995,-0.0248514972408337,0.0360177639888189,0.0126616418472668,0.0151657229906145,1.0,0.553200117746989,10.0,0.0,19.0,0.5,16.0,0.3166666666666666,,,9,1.0,frozen
qwen2.5-7b-instruct,dev,depth,late_frozen,60,60,117,0.6568796793619792,0.4614782460530598,0.8694605509440104,0.0095443725585937,-0.013423728942871,0.0320861689249674,0.6239316239316239,0.5042735042735043,0.7311340915676613,-0.0341880341880341,-0.0775862068965517,-0.0,117,0.5992297505590863,-0.0197324778517976,-0.046626503283147,-0.001675875684051,0.0236856952623666,0.0282299367902483,1.0,0.5521038770675659,19.0,0.0,,1.0,23.0,0.5833333333333334,,,9,1.0,frozen
qwen2.5-7b-instruct,dev,depth,full_sequential,60,60,117,0.5269978841145834,0.3617264811197916,0.7154152425130206,-0.120337422688802,-0.2224589029947916,-0.0299065653483073,0.5897435897435898,0.478982618688501,0.6982758620689655,-0.0,-0.059322033898305,0.0588235294117647,117,0.5644415916390668,0.0150556810682217,-0.0219433243238051,0.0537647823747295,0.0147893075959133,0.0241051768121097,1.0,1.5332569440205892,0.0,0.0,19.0,0.4,13.0,0.0833333333333333,8.0,0.3166666666666666,28,1.0,sequential
qwen2.5-7b-instruct,test,depth,unedited,160,160,316,0.6630706787109375,0.5474079322814942,0.7860062503814697,0.0,0.0,0.0,0.6550632911392406,0.5930599369085173,0.7165710251171733,-0.0,-0.0,-0.0,316,0.6144460838084035,-0.0,-0.0,-0.0,,,0.0,0.4285969361662864,,,,,,,,,0,,none
qwen2.5-7b-instruct,test,depth,full_frozen,160,160,316,0.5872692108154297,0.4902602005004883,0.7017230987548824,-0.0758014678955078,-0.1456663608551025,-0.0044759082794189,0.6740506329113924,0.6075949367088608,0.7356687898089171,-0.0189873417721519,-0.0599369085173501,0.0220125786163522,316,0.6467576333488024,-0.032311549540399,-0.0582172560268755,-0.0074714228706001,0.0244925344695169,0.0102158325358607,1.0,1.7670707002282142,1.0,0.0,19.0,0.45625,11.0,0.3125,8.0,0.375,28,1.0,frozen
