layer,dim,rank_in_layer,mean_abs,ratio_to_median,cv_across_prompts,bos_ratio,qualifies_ratio,in_old_top_variance,selected,n_stable_candidates,cv_max,ratio_min
4,1570,2,18.907738236156217,20.749243719685897,0.08236485533494173,73.52541651759036,False,False,True,2304,0.5,50.0
4,334,3,17.311294022817464,18.99731497740487,0.22496631742441797,588.2033321407229,False,True,True,2304,0.5,50.0
4,482,4,13.059884024395743,14.331841978583897,0.06252206005040645,19.478748405779534,False,False,True,2304,0.5,50.0
4,1068,5,8.889132289693814,9.75488289671193,0.19241238584576953,93.82721063065635,False,True,True,2304,0.5,50.0
5,535,1,36.43118134469696,36.34065546490548,0.0980811002287816,985.5449720285559,False,True,True,2304,0.5,50.0
5,334,2,21.819771994498552,21.765553218610872,0.2073434875432858,646.3898197110367,False,True,True,2304,0.5,50.0
5,1570,3,20.192051034902597,20.141876895133862,0.093219977754722,79.80121231000453,False,True,True,2304,0.5,50.0
5,1068,4,10.020793777619952,9.995893647032776,0.17683742093199153,98.25524265669307,False,True,True,2304,0.5,50.0
5,1261,5,8.228857060772347,8.208409617192174,0.23755694859969734,24.813189452642032,False,False,True,2304,0.5,50.0
6,334,1,51.57971230158729,50.589279239512685,0.13444568605956553,831.7167134293337,True,True,True,2304,0.5,50.0
6,1570,2,20.501570997362005,20.107900059037824,0.1038324254991659,83.36783094515727,False,True,True,2304,0.5,50.0
6,535,3,18.854609375000003,18.49256337543503,0.11796156377551746,1035.7226997421892,False,True,True,2304,0.5,50.0
6,1068,4,10.95134653418955,10.741058899813511,0.18165099704307142,111.32057426206295,False,True,True,2304,0.5,50.0
6,624,5,9.438436062635281,9.257199318311223,0.08152533540209225,18.757761962660386,False,False,True,2304,0.5,50.0
7,334,1,73.76854290674603,61.76690990844993,0.11963413309579149,917.6883613553165,True,True,True,2296,0.5,50.0
7,1570,2,23.090358735231785,19.333716670475617,0.1182853968284071,81.2187692075417,False,True,True,2296,0.5,50.0
7,1068,3,11.318767819094969,9.477282383637364,0.18327536015867243,110.52451067418045,False,True,True,2296,0.5,50.0
