study,model_name,condition,quantity,estimate,n,n_clusters,lo,hi
A1,qwen2.5-7b-instruct,leace_swap_max_noshrink_r1_a1,mean |C_margin|,0.8634112961106486,160.0,160.0,0.6268564788261792,1.1459402455815246
A1,qwen2.5-7b-instruct,leace_swap_max_r1_a1,mean |C_raw|,0.6498600006103515,160.0,160.0,0.5363221645355225,0.772811975479126
A1,qwen2.5-7b-instruct,leace_swap_max_r1_a1,mean |C_logp|,1.29574875831604,160.0,160.0,1.1041452568769454,1.5048582574725151
A1,qwen2.5-7b-instruct,leace_swap_max_r1_a1,mean |C_margin|,0.8646155429350866,160.0,160.0,0.6293185918652392,1.1374934427149883
A1,qwen2.5-7b-instruct,leace_swap_small_r1_a1,mean |C_raw|,0.6481063842773438,160.0,160.0,0.5320397567749023,0.7752268600463866
A1,qwen2.5-7b-instruct,leace_swap_small_r1_a1,mean |C_logp|,1.278052604198456,160.0,160.0,1.0824812710285185,1.4863854241371155
A1,qwen2.5-7b-instruct,leace_swap_small_r1_a1,mean |C_margin|,0.8419865540095738,160.0,160.0,0.6090354783387927,1.116746140726201
A1,qwen2.5-7b-instruct,random_ortho_1_r1_a1,mean |C_raw|,0.6514640808105469,160.0,160.0,0.5366019535064698,0.7767749595642089
A1,qwen2.5-7b-instruct,random_ortho_1_r1_a1,mean |C_logp|,1.3054201126098632,160.0,160.0,1.115495103597641,1.5132997876405714
A1,qwen2.5-7b-instruct,random_ortho_1_r1_a1,mean |C_margin|,0.8420473995146813,160.0,160.0,0.6035396870661092,1.1263641651477905
A1,qwen2.5-7b-instruct,random_ortho_2_r1_a1,mean |C_raw|,0.647296142578125,160.0,160.0,0.5352107620239257,0.7720564651489256
A1,qwen2.5-7b-instruct,random_ortho_2_r1_a1,mean |C_logp|,1.272562074661255,160.0,160.0,1.079308436214924,1.4813597163558003
A1,qwen2.5-7b-instruct,random_ortho_2_r1_a1,mean |C_margin|,0.7877713488293933,160.0,160.0,0.5632829875528038,1.0558691665530204
A1,qwen2.5-7b-instruct,random_ortho_3_r1_a1,mean |C_raw|,0.6564262390136719,160.0,160.0,0.5394103240966797,0.7831455993652344
A1,qwen2.5-7b-instruct,random_ortho_3_r1_a1,mean |C_logp|,1.3146089911460876,160.0,160.0,1.1192064771056176,1.5256901982426643
A1,qwen2.5-7b-instruct,random_ortho_3_r1_a1,mean |C_margin|,0.8325278093288471,160.0,160.0,0.5943674451635256,1.1244216090092405
A1,qwen2.5-7b-instruct,unedited_r0_a0,mean |C_raw|,0.6630706787109375,160.0,160.0,0.5481496715545655,0.7870144939422608
A1,qwen2.5-7b-instruct,unedited_r0_a0,mean |C_logp|,1.2659753680229187,160.0,160.0,1.0702574810385703,1.4796014809608458
A1,qwen2.5-7b-instruct,unedited_r0_a0,mean |C_margin|,0.8353861910956246,160.0,160.0,0.5969155208147191,1.1253700975086782
A1,gemma-2-2b-it,-,"reproduction: corr(C_raw, stored C)",0.9754658376168343,,,,
A1,gemma-2-2b-it,-,reproduction: median |C_raw - stored C|,0.125,,,,
A1,gemma-2-2b-it,unedited_r0_a0,reproduction: mean|C_raw| / mean|stored C|,1.0119811648255788,,,,
A1,gemma-2-2b-it,cure_centred_svd_r1_a1,reproduction: mean|C_raw| / mean|stored C|,0.9941048314750736,,,,
A1,gemma-2-2b-it,cure_centred_svd_r1_a1,"mean logit shift (patched - clean, mean over vocab)",0.02414599727198947,160.0,160.0,-0.0016524846979882567,0.04898958810823385
A1,gemma-2-2b-it,cure_centred_svd_r1_a1,log-partition shift LSE(patched) - LSE(clean),-0.04939455986022949,160.0,160.0,-0.08068242758512498,-0.019028707146644595
A1,gemma-2-2b-it,cure_centred_svd_r1_a1,mean |C_raw|,0.5681396484375,160.0,160.0,0.4894462585449219,0.6506176757812501
A1,gemma-2-2b-it,cure_centred_svd_r1_a1,mean |C_logp|,0.5981574535369873,160.0,160.0,0.5132248720526695,0.68771170347929
